pid,n_scs_total,n_scs_strong,n_branches,S,K,merger_richness,C_fourier,n_sign_changes,phase
73,15,4,6,1.705546983452387,2.105546983452387,2,0.17491227656310768,5,StrongMerger
74,35,4,4,1.248690003407575,1.6486900034075749,2,0.5254114420282173,3,StrongMerger
75,144,6,2,0.6887461892700277,1.2887461892700278,2,1.447948311126812,1,StrongMerger
76,88,4,2,0.6210863745552451,1.021086374555245,2,2.646614829110487,1,StrongMerger
77,215,11,1,0.0,1.1,0,7.621293064885564,0,Fragmented
78,0,0,1,0.0,0.0,0,7.751372746461232,0,Trivial
79,0,0,1,0.0,0.0,0,1.1941476288825967,0,Trivial
80,103,5,4,1.373113289509507,1.873113289509507,2,0.3015974738293022,3,StrongMerger
81,7,0,2,0.4333988732907457,0.4333988732907457,0,1.0597532546431156,1,Trivial
82,0,0,4,0.9323427896909693,0.9323427896909693,0,0.9508090114889658,3,Trivial
83,0,0,2,0.6530577442776866,0.6530577442776866,0,0.3979433657821244,1,Trivial
84,0,0,1,0.0,0.0,0,4.1396260901175,0,Trivial
85,23,2,2,0.18920898053816695,0.389208980538167,2,0.7026805599011484,1,StrongMerger
86,110,3,2,0.6434915530192904,0.9434915530192904,2,1.441208035618252,1,StrongMerger
87,0,0,1,0.0,0.0,0,3.4883820889770574,0,Trivial
88,73,2,1,0.0,0.2,0,3.36794494707171,0,Fragmented
89,2,1,4,1.0103035751006315,1.1103035751006316,2,5.28519552480548,3,StrongMerger
90,119,4,3,0.8578595336926983,1.2578595336926983,2,0.5880482448100439,2,StrongMerger
91,0,0,3,0.7376788886486527,0.7376788886486527,0,5.18343457596191,2,Trivial
92,70,3,5,1.5238698246584423,1.8238698246584424,2,1.395175308855057,4,StrongMerger
93,83,1,2,0.5788586438389152,0.6788586438389151,2,0.5642279489610066,1,StrongMerger
94,112,2,2,0.5623351446188083,0.7623351446188082,1,0.7939664317009935,1,WeakMerger
95,118,3,2,0.6808899872666533,0.9808899872666533,2,0.8851657732548612,1,StrongMerger
96,0,0,2,0.5623351446188083,0.5623351446188083,0,3.9658944550462967,1,Trivial
97,0,0,2,0.2337916587064593,0.2337916587064593,0,1.808699046608711,1,Trivial
98,11,4,2,0.5253213195155949,0.9253213195155949,2,2.824921974336378,1,StrongMerger
99,0,0,1,0.0,0.0,0,1.7722364062043539,0,Trivial
100,0,0,3,0.6099263025504231,0.6099263025504231,0,3.552505617333084,2,Trivial
101,237,7,2,0.6210863745552451,1.3210863745552452,2,2.7872377135126993,1,StrongMerger
102,40,5,5,1.4051969362611247,1.9051969362611247,2,0.5790617393738954,4,StrongMerger
103,56,3,2,0.45884684243710105,0.7588468424371011,2,1.7642862681609242,1,StrongMerger
104,9,2,4,1.1440185964264107,1.3440185964264106,2,0.705244233667147,3,StrongMerger
105,0,0,2,0.37677016125643675,0.37677016125643675,0,5.097992276253379,1,Trivial
106,114,5,2,0.6911927820032008,1.191192782003201,2,0.8208106515945969,1,StrongMerger
107,0,0,4,1.1731083867553787,1.1731083867553787,0,0.3102112847229173,3,Trivial
108,50,3,2,0.40609642111261135,0.7060964211126114,2,2.3761039715685195,1,StrongMerger
109,8,1,1,0.0,0.1,0,5.28538104603367,0,Fragmented
110,0,0,4,1.1645049461449821,1.1645049461449821,0,0.5878048853368361,3,Trivial
111,107,1,1,0.0,0.1,0,1.834845898329564,0,Fragmented
112,0,0,2,0.34520662539160074,0.34520662539160074,0,2.8239365908094483,1,Trivial
113,107,5,2,0.6853142072764582,1.1853142072764582,2,1.972473412731497,1,StrongMerger
114,49,3,3,1.000399593438329,1.300399593438329,2,0.2014061123225023,2,StrongMerger
115,0,0,1,0.0,0.0,0,0.5954594202489867,0,Trivial
116,0,0,4,1.1293666392549628,1.1293666392549628,0,0.3107815609176695,3,Trivial
117,18,5,5,1.343491157161567,1.843491157161567,2,0.3826422224510606,4,StrongMerger
118,389,8,1,0.0,0.8,0,9.147915562333583,0,Fragmented
119,44,3,2,0.4333988732907457,0.7333988732907457,2,3.2179794855680384,1,StrongMerger
120,74,5,2,0.6690268361602776,1.1690268361602776,2,2.097404979636376,1,StrongMerger
121,145,6,2,0.4333988732907457,1.0333988732907458,2,2.467440547389999,1,StrongMerger
122,0,0,1,0.0,0.0,0,8.47912775241366,0,Trivial
123,80,0,4,1.1014117933206766,1.1014117933206766,0,1.5057599690817591,3,Trivial
124,0,0,2,0.37677016125643675,0.37677016125643675,0,0.03434735274096604,1,Trivial
125,143,9,1,0.0,0.9,0,4.118704045607649,0,Fragmented
126,0,0,6,1.6574840232197996,1.6574840232197996,0,0.05921768241505746,5,Trivial
127,5,2,5,1.2238383233841579,1.4238383233841578,2,1.6798810443594216,4,StrongMerger
128,0,0,2,0.4333988732907457,0.4333988732907457,0,3.167273121498079,1,Trivial
129,0,0,2,0.6808899872666533,0.6808899872666533,0,1.952431420691363,1,Trivial
130,84,4,2,0.6434915530192904,1.0434915530192903,2,0.6391065334942568,1,StrongMerger
131,0,0,2,0.5623351446188083,0.5623351446188083,0,2.3805301744206306,1,Trivial
132,45,4,2,0.6690268361602776,1.0690268361602775,2,0.8478792072387251,1,StrongMerger
133,170,6,4,1.0389292069324854,1.6389292069324854,2,0.7976435010051545,3,StrongMerger
134,0,0,2,0.6530577442776866,0.6530577442776866,0,1.3857433128235819,1,Trivial
135,73,3,6,1.4950946028487306,1.7950946028487307,2,0.2508633510180978,5,StrongMerger
136,0,0,1,0.0,0.0,0,1.8100862218133835,0,Trivial
137,109,2,1,0.0,0.2,0,0.6492726296680106,0,Fragmented
138,0,0,2,0.48257756517701206,0.48257756517701206,0,3.9668201088323056,1,Trivial
139,0,0,2,0.2337916587064593,0.2337916587064593,0,0.96843090623153,1,Trivial
140,65,3,2,0.27416591535017265,0.5741659153501727,2,2.6748464927890256,1,StrongMerger
141,25,3,5,1.399434403287251,1.699434403287251,2,0.20209842981096462,4,StrongMerger
142,0,0,3,0.6300814285245757,0.6300814285245757,0,2.619394240961904,2,Trivial
143,0,0,2,0.6926588198060253,0.6926588198060253,0,3.278433361129413,1,Trivial
144,53,4,2,0.6808899872666533,1.0808899872666533,2,0.5267090170722016,1,StrongMerger
145,64,5,4,1.3016571733226514,1.8016571733226514,2,0.314003316270175,3,StrongMerger
146,14,2,2,0.6887461892700277,0.8887461892700277,2,1.7417472952067325,1,StrongMerger
147,103,2,4,1.3142335551151905,1.5142335551151904,2,0.407082613276979,3,StrongMerger
148,0,0,3,1.0239287996389363,1.0239287996389363,0,0.7595626579118406,2,Trivial
149,110,7,1,0.0,0.7000000000000001,0,2.4742599731389787,0,Fragmented
150,0,0,1,0.0,0.0,0,0.14194500339012406,0,Trivial
151,261,4,1,0.0,0.4,0,5.914296850214881,0,Fragmented
152,197,8,1,0.0,0.8,0,4.756082492418407,0,Fragmented
153,110,5,4,1.3085594993513896,1.8085594993513896,2,0.529174977654968,3,StrongMerger
154,0,0,2,0.6853142072764582,0.6853142072764582,0,2.1027365472328317,1,Trivial
155,0,0,2,0.48257756517701206,0.48257756517701206,0,2.94899934524603,1,Trivial
156,83,2,3,1.0441214183938043,1.2441214183938043,2,1.2956428054784608,2,StrongMerger
157,0,0,1,0.0,0.0,0,1.3403586758422024,0,Trivial
158,0,0,2,0.5941300227248385,0.5941300227248385,0,0.34668356967664954,1,Trivial
159,56,2,2,0.6754645824509031,0.8754645824509031,1,1.0896990994068783,1,WeakMerger
160,0,0,2,0.6690268361602776,0.6690268361602776,0,1.3059095988764189,1,Trivial
161,161,8,2,0.27416591535017265,1.0741659153501728,2,2.870783487745081,1,StrongMerger
162,23,3,3,0.8407728828014273,1.1407728828014272,2,1.0888808723063557,2,StrongMerger
163,0,0,3,1.0130227035447374,1.0130227035447374,0,0.4210762512112315,2,Trivial
164,0,0,1,0.0,0.0,0,2.7520113428419397,0,Trivial
165,0,0,2,0.6434915530192904,0.6434915530192904,0,0.31762059338220744,1,Trivial
166,38,0,3,0.9827157898414949,0.9827157898414949,0,0.3394249727114868,2,Trivial
167,60,2,4,0.9831072860024392,1.1831072860024392,2,1.4243624269186226,3,StrongMerger
168,0,0,3,0.8102550775177162,0.8102550775177162,0,1.6608762930533463,2,Trivial
169,161,6,1,0.0,0.6000000000000001,0,2.406644178290627,0,Fragmented
170,0,0,2,0.08048483706800685,0.08048483706800685,0,1.5446367187296184,1,Trivial
171,77,1,3,0.6922390496806912,0.7922390496806911,1,0.66618578037105,2,WeakMerger
172,0,0,1,0.0,0.0,0,9.255194132236028,0,Trivial
173,0,0,3,0.9960598208824665,0.9960598208824665,0,0.5410199244105487,2,Trivial
174,0,0,1,0.0,0.0,0,4.2382201643345345,0,Trivial
175,0,0,4,1.1302398760443997,1.1302398760443997,0,0.5461623159345229,3,Trivial
176,81,4,2,0.6615632381579821,1.0615632381579823,2,0.8538770632908007,1,StrongMerger
177,38,2,5,1.4912725254591712,1.6912725254591712,2,0.5939751368160177,4,StrongMerger
178,134,1,6,1.4498483098225534,1.5498483098225535,2,0.4460300701310981,5,StrongMerger
179,14,2,3,0.9810398994243299,1.1810398994243299,2,2.1178869556941424,2,StrongMerger
180,203,12,2,0.13906079845474112,1.3390607984547414,2,4.450677274116234,1,StrongMerger
181,164,7,2,0.6328428307500615,1.3328428307500615,2,1.4644975855634066,1,StrongMerger
